96,,Atlas Zongshen,ZS125-68,125cc,,,,,,,,,,,,,,,,,,,,
97,,Atlas Zongshen,ZS 100-27,100cc,,,,,,,,,,,,,,,,,,,,
98,,Atlas Zongshen,ZS 110-56,110cc,,,,,,,,,,,,,,,,,,,,
99,,Suzuki,Gixxer,155,,,,,,,,,,,,,,,,,,,,
100,,Suzuki,Intruder,,,,,,,,,,,,,,,,,,,,,
101,,Suzuki,Gixxer,2017 Edition,,,,,,,,,,,,,,,,,,,,
102,,Suzuki,Gixxer,Double Disc Ed,,,,,,,,,,,,,,,,,,,,
103,,Suzuki,Gixxer SF,155 (Faired Version),,,,,,,,,,,,,,,,,,,,
104,,Suzuki,Gixxer SF,2017 Edition,,,,,,,,,,,,,,,,,,,,
105,,Suzuki,Gixxer SF,Double Disc Ed,,,,,,,,,,,,,,,,,,,,
106,,Suzuki,Gixxer SF,SF Double Disc MotoGP Ed,,,,,,,,,,,,,,,,,,,,
107,,Suzuki,Gixxer,Special Edition (SP),,,,,,,,,,,,,,,,,,,,
108,,Suzuki,Gixxer SF,Special Edition (SP),,,,,,,,,,,,,,,,,,,,
109,,Suzuki,GSX,R150,,,,,,,,,,,,,,,,,,,,
110,,Suzuki,GSX,S150,,,,,,,,,,,,,,,,,,,,
111,,Suzuki,GS150R,,,,,,,,,,,,,,,,,,,,,
112,,Suzuki,HAYATE,,,,,,,,,,,,,,,,,,,,,
113,,Suzuki,Slingshot Plus,,,,,,,,,,,,,,,,,,,,,
114,Scooter,Suzuki,Lets,,,,,,,,,,,,,,,,,,,,,
115,Scooter,Suzuki,Access,125,,,,,,,,,,,,,,,,,,,,
116,,Vespa,Elegante,150,,,,,,,,,,,,,,,,,,,,
117,,Vespa,VXL,150,,,,,,,,,,,,,,,,,,,,
118,,Vespa,SXL,150,,,,,,,,,,,,,,,,,,,,
119,,Vespa,LX,125,,,,,,,,,,,,,,,,,,,,
120,,Vespa,VXL,125,,,,,,,,,,,,,,,,,,,,
121,,Vespa,SXL,125,,,,,,,,,,,,,,,,,,,,
122,,MEIDUO,M6,,,,,,,,,,,,,,,,,,,,,
123,,MEIDUO,BWS,,,,,,,,,,,,,,,,,,,,,
124,,MEIDUO,M SPARK,,,,,,,,,,,,,,,,,,,,,
125,Scooter,Kymco,New Like,50,,,,,,,,,,,,,,,,,,,,
126,Scooter,Kymco,New Like,125,,,,,,,,,,,,,,,,,,,,
127,Scooter,Kymco,Super 8,125,,,,,,,,,,,,,,,,,,,,
128,,Walton,XPLORE,140,,,,,,,,,,,,,,,,,,,,
129,,Walton,Speedo,150,,,,,,,,,,,,,,,,,,,,
130,,Walton,Fusion,125 EX,,,,,,,,,,,,,,,,,,,,
131,,Walton,Fusion,125,,,,,,,,,,,,,,,,,,,,
132,,Walton,Fusion,110 EX,,,,,,,,,,,,,,,,,,,,
133,,Walton,Fusion,110,,,,,,,,,,,,,,,,,,,,
134,,Walton,Cruize,100,,,,,,,,,,,,,,,,,,,,
135,,Walton,Stylex,100,,,,,,,,,,,,,,,,,,,,
136,,Walton,Ranger,,,,,,,,,,,,,,,,,,,,,
137,,Walton,Leo 90,,,,,,,,,,,,,,,,,,,,,
138,,Runner,Bullet,135,,,,,,,,,,,,,,,,,,,,
139,,Runner,Bullet,125,,,,,,,,,,,,,,,,,,,,
140,,Runner,Bullet,100,,,,,,,,,,,,,,,,,,,,
141,,Runner,Apollo,,,,,,,,,,,,,,,,,,,,,
142,,Runner,Gallexy,,,,,,,,,,,,,,,,,,,,,
143,,Runner,AD 80s,,,,,,,,,,,,,,,,,,,,,
144,,Runner,AD 80s,Deluxe,,,,,,,,,,,,,,,,,,,,
145,,Runner,DY 50,,,,,,,,,,,,,,,,,,,,,
146,,Runner,Trover,,,,,,,,,,,,,,,,,,,,,
147,,Runner,Royal,KS,,,,,,,,,,,,,,,,,,,,
148,,Runner,Royal,ES,,,,,,,,,,,,,,,,,,,,
149,,Runner,Royal,Plus,,,,,,,,,,,,,,,,,,,,
150,,Runner,F-100,6A,,,,,,,,,,,,,,,,,,,,
151,Scooter,Runner,Kite,100cc,,,,,,,,,,,,,,,,,,,,
152,,Runner,Turbo,,,,,,,,,,,,,,,,,,,,,
153,,Runner,LML Freedom,110,,,,,,,,,,,,,,,,,,,,
154,,Runner,Cheeta,,,,,,,,,,,,,,,,,,,,,
155,,Runner,Bijoy,,,,,,,,,,,,,,,,,,,,,
156,,Runner,Duronto,,,,,,,,,,,,,,,,,,,,,
157,,Runner,Turbo,125,,,,,,,,,,,,,,,,,,,,
158,,Runner,Kite,Plus,,,,,,,,,,,,,,,,,,,,
159,,Runner,Knight Rider,,,,,,,,,,,,,,,,,,,,,
160,,Runner,Bike,RT,,,,,,,,,,,,,,,,,,,,
161,,UM,Xtreet,,,,,,,,,,,,,,,,,,,,,
162,,UM,Xtreet,R 150,,,,,,,,,,,,,,,,,,,,
163,,UM,Xtreet,140 R,,,,,,,,,,,,,,,,,,,,
164,,UM,Rengade,Commando,,,,,,,,,,,,,,,,,,,,
165,,UM,Hypersport,,,,,,,,,,,,,,,,,,,,,
166,,UM,Renegade,Sport 139cc,,,,,,,,,,,,,,,,,,,,
167,,UM,Renegade,Duty 125cc,,,,,,,,,,,,,,,,,,,,
168,,UM,Max ii,125cc,,,,,,,,,,,,,,,,,,,,
169,Scooter,UM,Powermax,125cc,,,,,,,,,,,,,,,,,,,,
170,,Lifan,KPR,150,,,,,,,,,,,,,,,,,,,,
