108,Pick Up,Mitsubishi,L200,2WD Double Cabin,Thailand,,,,5200,1785,1655,200,5,,2WD,Diesel,Rangs Limited,,,,,,,,
109,Pick Up,Mitsubishi,L200,4WD Single Cabin,Thailand,,,,5075,1785,1780,200,3,26,4WD,Diesel,Rangs Limited,,,,,,,,
110,Pick Up,Mitsubishi,L200,2WD Single Cabin,Thailand,,,,5075,1785,1655,200,3,,2WD,Diesel,Rangs Limited,,,,,,,,
111,Sedan,Nissan,Almera,1.5L,,,1498,,4455,1695,1515,,5,,FWD,Petrol,Pacific Motors Ltd.,,,,,,,,
112,Sedan,Nissan,Sylphy,1.6L,,,1598,114,4610,1760,1495,,5,,FWD,Petrol,Pacific Motors Ltd.,,,,,,,,
113,Sedan,Nissan,Teana,2.0L,,,1997,139,4868,1830,1483,,5,,FWD,Petrol,Pacific Motors Ltd.,,,,,,,,
114,SUV,Nissan,X-Trail,2.0L,,,1997,142,4640,1820,1710,,7,,4WD,Petrol,Pacific Motors Ltd.,,,,,,,,
115,SUV,Nissan,Patrol,5.6L,,,5552,394,5140,1995,1940,,7,,4WD,Petrol,Pacific Motors Ltd.,,,,,,,,
116,Microbus,Nissan,Urvan,12/15 Seater,,,2488,145,4695,1695,1990,,15,,,Petrol,Pacific Motors Ltd.,,,,,,,,
117,Microbus,Nissan,Urvan,16 Seater,,,2488,145,5230,1880,2285,,16,,,Petrol,Pacific Motors Ltd.,,,,,,,,
118,Pick Up,Nissan,Navara,NP 300,Thailand,,2488,160,5255,1850,1810,228,3,47.5,4WD,Diesel,Pacific Motors Ltd.,,,,,,,,
119,Hatchback,Hyundai,EON,0.8 MPi Speed Manual,,21,814,55,3495,1550,1500,,5,,,Petrol,HMBL,,,,,,,,
120,Hatchback,Hyundai,Grand i10,1.2 MPi 4-Speed,,,1197,82,3765,1660,1520,,5,,,Petrol,HMBL,,,,,,,,
121,Sedan,Hyundai,XCENT,Dual VTVT 4-speed,,,1197,82,3995,1660,1520,,5,,,Petrol,HMBL,,,,,,,,
122,Sedan,Hyundai,Accent,1.4 MPi,,,1368,99,4370,1700,1457,,5,,,Petrol,HMBL,,,,,,,,
